識別番号,漢字,種類,異体字(表に含む),漢検級
608,更,1. 常用漢字の通用字体,,4級
609,効,1. 常用漢字の通用字体,,6級
610,幸,1. 常用漢字の通用字体,,8級
611,拘,1. 常用漢字の通用字体,,3級
612,肯,1. 常用漢字の通用字体,,準2級
613,侯,1. 常用漢字の通用字体,,準2級
614,厚,1. 常用漢字の通用字体,,6級
615,恒,1. 常用漢字の通用字体,恆,4級
616,洪,1. 常用漢字の通用字体,,準2級
617,皇,1. 常用漢字の通用字体,,5級
618,紅,1. 常用漢字の通用字体,,5級
619,荒,1. 常用漢字の通用字体,,4級
620,郊,1. 常用漢字の通用字体,,3級
621,香,1. 常用漢字の通用字体,,7級
622,候,1. 常用漢字の通用字体,,7級
623,校,1. 常用漢字の通用字体,,10級
624,耕,1. 常用漢字の通用字体,,6級
625,航,1. 常用漢字の通用字体,,6級
626,貢,1. 常用漢字の通用字体,,準2級
627,降,1. 常用漢字の通用字体,,5級
628,高,1. 常用漢字の通用字体,,9級
629,康,1. 常用漢字の通用字体,,7級
630,控,1. 常用漢字の通用字体,,3級
631,梗,1. 常用漢字の通用字体,,2級
632,黄,1. 常用漢字の通用字体,黃,9級
633,喉,1. 常用漢字の通用字体,,2級
634,慌,1. 常用漢字の通用字体,,3級
635,港,1. 常用漢字の通用字体,,8級
636,硬,1. 常用漢字の通用字体,,3級
637,絞,1. 常用漢字の通用字体,,3級
638,項,1. 常用漢字の通用字体,,4級
639,溝,1. 常用漢字の通用字体,,準2級
640,鉱,1. 常用漢字の通用字体,,6級
641,構,1. 常用漢字の通用字体,,6級
642,綱,1. 常用漢字の通用字体,,3級
643,酵,1. 常用漢字の通用字体,,3級
644,稿,1. 常用漢字の通用字体,,4級
645,興,1. 常用漢字の通用字体,,6級
646,衡,1. 常用漢字の通用字体,,準2級
647,鋼,1. 常用漢字の通用字体,,5級
648,講,1. 常用漢字の通用字体,,6級
649,購,1. 常用漢字の通用字体,,準2級
650,乞,1. 常用漢字の通用字体,,2級
651,号,1. 常用漢字の通用字体,,8級
652,合,1. 常用漢字の通用字体,,9級
653,拷,1. 常用漢字の通用字体,,準2級
654,剛,1. 常用漢字の通用字体,,準2級
655,傲,1. 常用漢字の通用字体,,2級
656,豪,1. 常用漢字の通用字体,,4級
657,克,1. 常用漢字の通用字体,,3級
658,告,1. 常用漢字の通用字体,,6級
659,谷,1. 常用漢字の通用字体,,9級
660,刻,1. 常用漢字の通用字体,,5級
661,国,1. 常用漢字の通用字体,國,9級
662,黒,1. 常用漢字の通用字体,黑,9級
663,穀,1. 常用漢字の通用字体,穀,5級
664,酷,1. 常用漢字の通用字体,,準2級
665,獄,1. 常用漢字の通用字体,,3級
666,骨,1. 常用漢字の通用字体,,5級
667,駒,1. 常用漢字の通用字体,,2級
668,込,1. 常用漢字の通用字体,,4級
669,頃,1. 常用漢字の通用字体,,2級
670,今,1. 常用漢字の通用字体,,9級
671,困,1. 常用漢字の通用字体,,5級
672,昆,1. 常用漢字の通用字体,,準2級
673,恨,1. 常用漢字の通用字体,,3級
674,根,1. 常用漢字の通用字体,,8級
675,婚,1. 常用漢字の通用字体,,4級
676,混,1. 常用漢字の通用字体,,6級
677,痕,1. 常用漢字の通用字体,,2級
678,紺,1. 常用漢字の通用字体,,3級
679,魂,1. 常用漢字の通用字体,,3級
680,墾,1. 常用漢字の通用字体,,3級
681,懇,1. 常用漢字の通用字体,,準2級
682,左,1. 常用漢字の通用字体,,10級
683,佐,1. 常用漢字の通用字体,,7級
684,沙,1. 常用漢字の通用字体,,2級
685,査,1. 常用漢字の通用字体,,6級
686,砂,1. 常用漢字の通用字体,,5級
687,唆,1. 常用漢字の通用字体,,準2級
688,差,1. 常用漢字の通用字体,,7級
689,詐,1. 常用漢字の通用字体,,準2級
690,鎖,1. 常用漢字の通用字体,,4級
691,座,1. 常用漢字の通用字体,,5級
692,挫,1. 常用漢字の通用字体,,2級
693,才,1. 常用漢字の通用字体,,9級
694,再,1. 常用漢字の通用字体,,6級
695,災,1. 常用漢字の通用字体,,6級
696,妻,1. 常用漢字の通用字体,,6級
697,采,1. 常用漢字の通用字体,,2級
698,砕,1. 常用漢字の通用字体,碎,準2級
699,宰,1. 常用漢字の通用字体,,準2級
700,栽,1. 常用漢字の通用字体,,準2級
701,彩,1. 常用漢字の通用字体,,4級
702,採,1. 常用漢字の通用字体,,6級
703,済,1. 常用漢字の通用字体,,5級
704,祭,1. 常用漢字の通用字体,,8級
705,斎,1. 常用漢字の通用字体,,準2級
706,細,1. 常用漢字の通用字体,,9級
707,菜,1. 常用漢字の通用字体,,7級
708,最,1. 常用漢字の通用字体,,7級
709,裁,1. 常用漢字の通用字体,,5級
710,債,1. 常用漢字の通用字体,,3級
711,催,1. 常用漢字の通用字体,,3級
712,塞,1. 常用漢字の通用字体,,2級
713,歳,1. 常用漢字の通用字体,,4級
714,載,1. 常用漢字の通用字体,,4級
715,際,1. 常用漢字の通用字体,,6級
716,埼,1. 常用漢字の通用字体,,7級
717,在,1. 常用漢字の通用字体,,6級
718,材,1. 常用漢字の通用字体,,7級
719,剤,1. 常用漢字の通用字体,,4級
720,財,1. 常用漢字の通用字体,,6級
721,罪,1. 常用漢字の通用字体,,6級
722,崎,1. 常用漢字の通用字体,,7級
723,作,1. 常用漢字の通用字体,,9級
724,削,1. 常用漢字の通用字体,,3級
725,昨,1. 常用漢字の通用字体,,7級
726,柵,1. 常用漢字の通用字体,,2級
727,索,1. 常用漢字の通用字体,,準2級
728,策,1. 常用漢字の通用字体,,5級
729,酢,1. 常用漢字の通用字体,,準2級
730,搾,1. 常用漢字の通用字体,,3級
731,錯,1. 常用漢字の通用字体,,3級
732,咲,1. 常用漢字の通用字体,,4級
733,冊,1. 常用漢字の通用字体,,5級
734,札,1. 常用漢字の通用字体,,7級
735,刷,1. 常用漢字の通用字体,,7級
736,刹,1. 常用漢字の通用字体,,2級
737,拶,1. 常用漢字の通用字体,,2級
738,殺,1. 常用漢字の通用字体,,6級
739,察,1. 常用漢字の通用字体,,7級
740,撮,1. 常用漢字の通用字体,,3級
741,擦,1. 常用漢字の通用字体,,3級
742,雑,1. 常用漢字の通用字体,雜,6級
743,皿,1. 常用漢字の通用字体,,8級
744,三,1. 常用漢字の通用字体,,10級
745,山,1. 常用漢字の通用字体,,10級
746,参,1. 常用漢字の通用字体,,7級
747,桟,1. 常用漢字の通用字体,,準2級
748,蚕,1. 常用漢字の通用字体,,5級
749,惨,1. 常用漢字の通用字体,,4級
750,産,1. 常用漢字の通用字体,,7級
751,傘,1. 常用漢字の通用字体,,準2級
752,散,1. 常用漢字の通用字体,,7級
753,算,1. 常用漢字の通用字体,,9級
754,酸,1. 常用漢字の通用字体,,6級
755,賛,1. 常用漢字の通用字体,,6級
756,残,1. 常用漢字の通用字体,,7級
757,斬,1. 常用漢字の通用字体,,2級
758,暫,1. 常用漢字の通用字体,,3級
759,士,1. 常用漢字の通用字体,,6級
760,子,1. 常用漢字の通用字体,,10級
761,支,1. 常用漢字の通用字体,,6級
762,止,1. 常用漢字の通用字体,,9級
763,氏,1. 常用漢字の通用字体,,7級
764,仕,1. 常用漢字の通用字体,,8級
765,史,1. 常用漢字の通用字体,,6級
766,司,1. 常用漢字の通用字体,,7級
767,四,1. 常用漢字の通用字体,,10級
768,市,1. 常用漢字の通用字体,,9級
769,矢,1. 常用漢字の通用字体,,9級
770,旨,1. 常用漢字の通用字体,,4級
771,死,1. 常用漢字の通用字体,,8級
772,糸,1. 常用漢字の通用字体,,10級
773,至,1. 常用漢字の通用字体,,5級
774,伺,1. 常用漢字の通用字体,,4級
775,志,1. 常用漢字の通用字体,,6級
776,私,1. 常用漢字の通用字体,,5級
777,使,1. 常用漢字の通用字体,,8級
778,刺,1. 常用漢字の通用字体,,4級
779,始,1. 常用漢字の通用字体,,8級
780,姉,1. 常用漢字の通用字体,,9級
781,枝,1. 常用漢字の通用字体,,6級
782,祉,1. 常用漢字の通用字体,祉,3級
783,肢,1. 常用漢字の通用字体,,準2級
784,姿,1. 常用漢字の通用字体,,5級
785,思,1. 常用漢字の通用字体,,9級
786,指,1. 常用漢字の通用字体,,8級
787,施,1. 常用漢字の通用字体,,3級
788,師,1. 常用漢字の通用字体,,6級
789,恣,1. 常用漢字の通用字体,,2級
790,紙,1. 常用漢字の通用字体,,9級
791,脂,1. 常用漢字の通用字体,,4級
792,視,1. 常用漢字の通用字体,視,5級
793,紫,1. 常用漢字の通用字体,,4級
794,詞,1. 常用漢字の通用字体,,5級
795,歯,1. 常用漢字の通用字体,,8級
796,嗣,1. 常用漢字の通用字体,,準2級
797,試,1. 常用漢字の通用字体,,7級
798,詩,1. 常用漢字の通用字体,,8級
799,資,1. 常用漢字の通用字体,,6級
800,飼,1. 常用漢字の通用字体,,6級
801,誌,1. 常用漢字の通用字体,,5級
802,雌,1. 常用漢字の通用字体,,4級
803,摯,1. 常用漢字の通用字体,,2級
804,賜,1. 常用漢字の通用字体,,準2級
805,諮,1. 常用漢字の通用字体,,3級
806,示,1. 常用漢字の通用字体,,6級
807,字,1. 常用漢字の通用字体,,10級
808,寺,1. 常用漢字の通用字体,,9級
809,次,1. 常用漢字の通用字体,,8級
810,耳,1. 常用漢字の通用字体,,10級
811,自,1. 常用漢字の通用字体,,9級
812,似,1. 常用漢字の通用字体,,6級
813,児,1. 常用漢字の通用字体,兒,7級
814,事,1. 常用漢字の通用字体,,8級
815,侍,1. 常用漢字の通用字体,,3級
816,治,1. 常用漢字の通用字体,,7級
817,持,1. 常用漢字の通用字体,,8級
818,時,1. 常用漢字の通用字体,,9級
819,滋,1. 常用漢字の通用字体,,7級
820,慈,1. 常用漢字の通用字体,,3級
821,辞,1. 常用漢字の通用字体,,7級
822,磁,1. 常用漢字の通用字体,,5級
823,餌,1. 常用漢字の通用字体,,2級
824,璽,1. 常用漢字の通用字体,,準2級
825,鹿,1. 常用漢字の通用字体,,7級
826,式,1. 常用漢字の通用字体,,8級
827,識,1. 常用漢字の通用字体,,6級
828,軸,1. 常用漢字の通用字体,,3級
829,七,1. 常用漢字の通用字体,,10級
830,𠮟,1. 常用漢字の通用字体,,2級
831,失,1. 常用漢字の通用字体,,7級
832,室,1. 常用漢字の通用字体,,9級
833,疾,1. 常用漢字の通用字体,,3級
834,執,1. 常用漢字の通用字体,,4級
835,湿,1. 常用漢字の通用字体,濕,3級
836,嫉,1. 常用漢字の通用字体,,2級
837,漆,1. 常用漢字の通用字体,,準2級
838,質,1. 常用漢字の通用字体,,6級
839,実,1. 常用漢字の通用字体,實,8級
840,芝,1. 常用漢字の通用字体,,4級
841,写,1. 常用漢字の通用字体,,8級
842,社,1. 常用漢字の通用字体,社,9級
843,車,1. 常用漢字の通用字体,,10級
844,舎,1. 常用漢字の通用字体,,6級
845,者,1. 常用漢字の通用字体,者,8級
846,射,1. 常用漢字の通用字体,,5級
847,捨,1. 常用漢字の通用字体,,5級
848,赦,1. 常用漢字の通用字体,,3級
849,斜,1. 常用漢字の通用字体,,4級
850,煮,1. 常用漢字の通用字体,煮,4級
851,遮,1. 常用漢字の通用字体,,準2級
852,謝,1. 常用漢字の通用字体,,6級
853,邪,1. 常用漢字の通用字体,,3級
854,蛇,1. 常用漢字の通用字体,,準2級
855,尺,1. 常用漢字の通用字体,,5級
856,借,1. 常用漢字の通用字体,,7級
857,酌,1. 常用漢字の通用字体,,準2級
858,釈,1. 常用漢字の通用字体,,4級
859,爵,1. 常用漢字の通用字体,,準2級
860,若,1. 常用漢字の通用字体,,5級
861,弱,1. 常用漢字の通用字体,,9級
862,寂,1. 常用漢字の通用字体,,4級
863,手,1. 常用漢字の通用字体,,10級
864,主,1. 常用漢字の通用字体,,8級
865,守,1. 常用漢字の通用字体,,8級
866,朱,1. 常用漢字の通用字体,,4級
867,取,1. 常用漢字の通用字体,,8級
868,狩,1. 常用漢字の通用字体,,4級
869,首,1. 常用漢字の通用字体,,9級
870,殊,1. 常用漢字の通用字体,,3級
871,珠,1. 常用漢字の通用字体,,準2級
872,酒,1. 常用漢字の通用字体,,8級
873,腫,1. 常用漢字の通用字体,,2級
874,種,1. 常用漢字の通用字体,,7級
875,趣,1. 常用漢字の通用字体,,4級
876,寿,1. 常用漢字の通用字体,壽,3級
877,受,1. 常用漢字の通用字体,,8級
878,呪,1. 常用漢字の通用字体,,2級
879,授,1. 常用漢字の通用字体,,6級
880,需,1. 常用漢字の通用字体,,4級
881,儒,1. 常用漢字の通用字体,,準2級
882,樹,1. 常用漢字の通用字体,,5級
883,収,1. 常用漢字の通用字体,收,5級
884,囚,1. 常用漢字の通用字体,,準2級
885,州,1. 常用漢字の通用字体,,8級
886,舟,1. 常用漢字の通用字体,,4級
887,秀,1. 常用漢字の通用字体,,4級
888,周,1. 常用漢字の通用字体,,7級
889,宗,1. 常用漢字の通用字体,,5級
890,拾,1. 常用漢字の通用字体,,8級
891,秋,1. 常用漢字の通用字体,,9級
892,臭,1. 常用漢字の通用字体,臭,準2級
893,修,1. 常用漢字の通用字体,,6級
894,袖,1. 常用漢字の通用字体,,2級
895,終,1. 常用漢字の通用字体,,8級
896,羞,1. 常用漢字の通用字体,,2級
897,習,1. 常用漢字の通用字体,,8級
898,週,1. 常用漢字の通用字体,,9級
899,就,1. 常用漢字の通用字体,,5級
900,衆,1. 常用漢字の通用字体,,5級
901,集,1. 常用漢字の通用字体,,8級
902,愁,1. 常用漢字の通用字体,,準2級
903,酬,1. 常用漢字の通用字体,,準2級
904,醜,1. 常用漢字の通用字体,,準2級
905,蹴,1. 常用漢字の通用字体,,2級
906,襲,1. 常用漢字の通用字体,,4級
907,十,1. 常用漢字の通用字体,,10級
908,汁,1. 常用漢字の通用字体,,準2級
909,充,1. 常用漢字の通用字体,,準2級
910,住,1. 常用漢字の通用字体,,8級
911,柔,1. 常用漢字の通用字体,,4級
912,重,1. 常用漢字の通用字体,,8級
913,従,1. 常用漢字の通用字体,從,5級
914,渋,1. 常用漢字の通用字体,澁,準2級
915,銃,1. 常用漢字の通用字体,,準2級
916,獣,1. 常用漢字の通用字体,獸,4級
917,縦,1. 常用漢字の通用字体,縱,5級
918,叔,1. 常用漢字の通用字体,,準2級
919,祝,1. 常用漢字の通用字体,祝,7級
920,宿,1. 常用漢字の通用字体,,8級
921,淑,1. 常用漢字の通用字体,,準2級
922,粛,1. 常用漢字の通用字体,,準2級
923,縮,1. 常用漢字の通用字体,,5級
924,塾,1. 常用漢字の通用字体,,準2級
925,熟,1. 常用漢字の通用字体,,5級
926,出,1. 常用漢字の通用字体,,10級
927,述,1. 常用漢字の通用字体,,6級
928,術,1. 常用漢字の通用字体,,6級
929,俊,1. 常用漢字の通用字体,,準2級
930,春,1. 常用漢字の通用字体,,9級
931,瞬,1. 常用漢字の通用字体,,4級
932,旬,1. 常用漢字の通用字体,,4級
933,巡,1. 常用漢字の通用字体,,4級
934,盾,1. 常用漢字の通用字体,,4級
935,准,1. 常用漢字の通用字体,,準2級
936,殉,1. 常用漢字の通用字体,,準2級
937,純,1. 常用漢字の通用字体,,5級
938,循,1. 常用漢字の通用字体,,準2級
939,順,1. 常用漢字の通用字体,,7級
940,準,1. 常用漢字の通用字体,,6級
941,潤,1. 常用漢字の通用字体,,3級
942,遵,1. 常用漢字の通用字体,,3級
943,処,1. 常用漢字の通用字体,,5級
944,初,1. 常用漢字の通用字体,,7級
945,所,1. 常用漢字の通用字体,,8級
946,書,1. 常用漢字の通用字体,,9級
947,庶,1. 常用漢字の通用字体,,準2級
948,暑,1. 常用漢字の通用字体,暑,8級
949,署,1. 常用漢字の通用字体,署,5級
950,緒,1. 常用漢字の通用字体,緖,準2級
951,諸,1. 常用漢字の通用字体,諸,5級
952,女,1. 常用漢字の通用字体,,10級
953,如,1. 常用漢字の通用字体,,3級
954,助,1. 常用漢字の通用字体,,8級
955,序,1. 常用漢字の通用字体,,6級
956,叙,1. 常用漢字の通用字体,敍,準2級
957,徐,1. 常用漢字の通用字体,,3級
958,除,1. 常用漢字の通用字体,,5級
959,小,1. 常用漢字の通用字体,,10級
960,升,1. 常用漢字の通用字体,,準2級
961,少,1. 常用漢字の通用字体,,9級
962,召,1. 常用漢字の通用字体,,4級
963,匠,1. 常用漢字の通用字体,,3級
964,床,1. 常用漢字の通用字体,,4級
965,抄,1. 常用漢字の通用字体,,準2級
966,肖,1. 常用漢字の通用字体,,準2級
967,尚,1. 常用漢字の通用字体,,準2級
968,招,1. 常用漢字の通用字体,,6級
969,承,1. 常用漢字の通用字体,,5級
970,昇,1. 常用漢字の通用字体,,3級
971,松,1. 常用漢字の通用字体,,7級
972,沼,1. 常用漢字の通用字体,,4級
973,昭,1. 常用漢字の通用字体,,8級
974,宵,1. 常用漢字の通用字体,,準2級
975,将,1. 常用漢字の通用字体,將,5級
976,消,1. 常用漢字の通用字体,,8級
977,症,1. 常用漢字の通用字体,,準2級
978,祥,1. 常用漢字の通用字体,祥,準2級
979,称,1. 常用漢字の通用字体,,4級
980,笑,1. 常用漢字の通用字体,,7級
981,唱,1. 常用漢字の通用字体,,7級
982,商,1. 常用漢字の通用字体,,8級
983,渉,1. 常用漢字の通用字体,涉,準2級
984,章,1. 常用漢字の通用字体,,8級
985,紹,1. 常用漢字の通用字体,,4級
986,訟,1. 常用漢字の通用字体,,準2級
987,勝,1. 常用漢字の通用字体,,8級
988,掌,1. 常用漢字の通用字体,,3級
989,晶,1. 常用漢字の通用字体,,3級
990,焼,1. 常用漢字の通用字体,燒,7級
991,焦,1. 常用漢字の通用字体,,3級
992,硝,1. 常用漢字の通用字体,,準2級
993,粧,1. 常用漢字の通用字体,,準2級
994,詔,1. 常用漢字の通用字体,,準2級
995,証,1. 常用漢字の通用字体,,6級
996,象,1. 常用漢字の通用字体,,6級
997,傷,1. 常用漢字の通用字体,,5級
998,奨,1. 常用漢字の通用字体,奬,準2級
999,照,1. 常用漢字の通用字体,,7級
1000,詳,1. 常用漢字の通用字体,,4級
1001,彰,1. 常用漢字の通用字体,,準2級
1002,障,1. 常用漢字の通用字体,,5級
1003,憧,1. 常用漢字の通用字体,,2級
1004,衝,1. 常用漢字の通用字体,,3級
1005,賞,1. 常用漢字の通用字体,,6級
1006,償,1. 常用漢字の通用字体,,準2級
1007,礁,1. 常用漢字の通用字体,,準2級
1008,鐘,1. 常用漢字の通用字体,,3級
1009,上,1. 常用漢字の通用字体,,10級
1010,丈,1. 常用漢字の通用字体,,4級
1011,冗,1. 常用漢字の通用字体,,3級
1012,条,1. 常用漢字の通用字体,條,6級
1013,状,1. 常用漢字の通用字体,狀,6級
1014,乗,1. 常用漢字の通用字体,乘,8級
1015,城,1. 常用漢字の通用字体,,7級
1016,浄,1. 常用漢字の通用字体,淨,準2級
1017,剰,1. 常用漢字の通用字体,剩,準2級
1018,常,1. 常用漢字の通用字体,,6級
1019,情,1. 常用漢字の通用字体,,6級
1020,場,1. 常用漢字の通用字体,,9級
1021,畳,1. 常用漢字の通用字体,疊,4級
1022,蒸,1. 常用漢字の通用字体,,5級
1023,縄,1. 常用漢字の通用字体,,7級
1024,壌,1. 常用漢字の通用字体,,準2級
1025,嬢,1. 常用漢字の通用字体,孃,3級
1026,錠,1. 常用漢字の通用字体,,3級
1027,譲,1. 常用漢字の通用字体,讓,3級
1028,醸,1. 常用漢字の通用字体,釀,準2級
1029,色,1. 常用漢字の通用字体,,9級
1030,拭,1. 常用漢字の通用字体,,2級
1031,食,1. 常用漢字の通用字体,,9級
1032,植,1. 常用漢字の通用字体,,8級
1033,殖,1. 常用漢字の通用字体,,4級
1034,飾,1. 常用漢字の通用字体,,4級
1035,触,1. 常用漢字の通用字体,,4級
1036,嘱,1. 常用漢字の通用字体,,3級
1037,織,1. 常用漢字の通用字体,,6級
1038,職,1. 常用漢字の通用字体,,6級
1039,辱,1. 常用漢字の通用字体,,3級
1040,尻,1. 常用漢字の通用字体,,2級
1041,心,1. 常用漢字の通用字体,,9級
1042,申,1. 常用漢字の通用字体,,8級
1043,伸,1. 常用漢字の通用字体,,3級
1044,臣,1. 常用漢字の通用字体,,7級
1045,芯,1. 常用漢字の通用字体,,2級
1046,身,1. 常用漢字の通用字体,,8級
1047,辛,1. 常用漢字の通用字体,,3級
1048,侵,1. 常用漢字の通用字体,,4級
1049,信,1. 常用漢字の通用字体,,7級
1050,津,1. 常用漢字の通用字体,,準2級
1051,神,1. 常用漢字の通用字体,神,8級
1052,唇,1. 常用漢字の通用字体,,準2級
1053,娠,1. 常用漢字の通用字体,,準2級
1054,振,1. 常用漢字の通用字体,,4級
1055,浸,1. 常用漢字の通用字体,,4級
1056,真,1. 常用漢字の通用字体,眞,8級
1057,針,1. 常用漢字の通用字体,,5級
1058,深,1. 常用漢字の通用字体,,8級
1059,紳,1. 常用漢字の通用字体,,準2級
1060,進,1. 常用漢字の通用字体,,8級
1061,森,1. 常用漢字の通用字体,,10級
1062,診,1. 常用漢字の通用字体,,準2級
1063,寝,1. 常用漢字の通用字体,寢,4級
1064,慎,1. 常用漢字の通用字体,愼,4級
1065,新,1. 常用漢字の通用字体,,9級
1066,審,1. 常用漢字の通用字体,,3級
1067,震,1. 常用漢字の通用字体,,4級
1068,薪,1. 常用漢字の通用字体,,4級
1069,親,1. 常用漢字の通用字体,,9級
1070,人,1. 常用漢字の通用字体,,10級
1071,刃,1. 常用漢字の通用字体,,準2級
1072,仁,1. 常用漢字の通用字体,,5級
1073,尽,1. 常用漢字の通用字体,盡,4級
1074,迅,1. 常用漢字の通用字体,,準2級
1075,甚,1. 常用漢字の通用字体,,準2級
1076,陣,1. 常用漢字の通用字体,,4級
1077,尋,1. 常用漢字の通用字体,,4級
1078,腎,1. 常用漢字の通用字体,,2級
1079,須,1. 常用漢字の通用字体,,2級
1080,図,1. 常用漢字の通用字体,,9級
1081,水,1. 常用漢字の通用字体,,10級
1082,吹,1. 常用漢字の通用字体,,4級
1083,垂,1. 常用漢字の通用字体,,5級
1084,炊,1. 常用漢字の通用字体,,3級
1085,帥,1. 常用漢字の通用字体,,準2級
1086,粋,1. 常用漢字の通用字体,粹,3級
1087,衰,1. 常用漢字の通用字体,,3級
1088,推,1. 常用漢字の通用字体,,5級
1089,酔,1. 常用漢字の通用字体,醉,3級
1090,遂,1. 常用漢字の通用字体,,3級
1091,睡,1. 常用漢字の通用字体,,準2級
1092,穂,1. 常用漢字の通用字体,穗,3級
1093,随,1. 常用漢字の通用字体,,3級
1094,髄,1. 常用漢字の通用字体,,3級
1095,枢,1. 常用漢字の通用字体,,準2級
1096,崇,1. 常用漢字の通用字体,,準2級
1097,数,1. 常用漢字の通用字体,,9級
1098,据,1. 常用漢字の通用字体,,準2級
1099,杉,1. 常用漢字の通用字体,,準2級
1100,裾,1. 常用漢字の通用字体,,2級
1101,寸,1. 常用漢字の通用字体,,5級
1102,瀬,1. 常用漢字の通用字体,瀨,3級
1103,是,1. 常用漢字の通用字体,,4級
1104,井,1. 常用漢字の通用字体,,7級
1105,世,1. 常用漢字の通用字体,,8級
1106,正,1. 常用漢字の通用字体,,10級
1107,生,1. 常用漢字の通用字体,,10級
1108,成,1. 常用漢字の通用字体,,7級
1109,西,1. 常用漢字の通用字体,,9級
1110,声,1. 常用漢字の通用字体,,9級
1111,制,1. 常用漢字の通用字体,,6級
1112,姓,1. 常用漢字の通用字体,,4級
1113,征,1. 常用漢字の通用字体,,4級
1114,性,1. 常用漢字の通用字体,,6級
1115,青,1. 常用漢字の通用字体,,10級
1116,斉,1. 常用漢字の通用字体,齊,準2級
1117,政,1. 常用漢字の通用字体,,6級
1118,星,1. 常用漢字の通用字体,,9級
1119,牲,1. 常用漢字の通用字体,,3級
1120,省,1. 常用漢字の通用字体,,7級
1121,凄,1. 常用漢字の通用字体,,2級
1122,逝,1. 常用漢字の通用字体,,準2級
1123,清,1. 常用漢字の通用字体,,7級
1124,盛,1. 常用漢字の通用字体,,5級
1125,婿,1. 常用漢字の通用字体,,3級
1126,晴,1. 常用漢字の通用字体,,9級
1127,勢,1. 常用漢字の通用字体,,6級
1128,聖,1. 常用漢字の通用字体,,5級
1129,誠,1. 常用漢字の通用字体,,5級
1130,精,1. 常用漢字の通用字体,,6級
1131,製,1. 常用漢字の通用字体,,6級
1132,誓,1. 常用漢字の通用字体,,準2級
1133,静,1. 常用漢字の通用字体,靜,7級
1134,請,1. 常用漢字の通用字体,,3級
1135,整,1. 常用漢字の通用字体,,8級
1136,醒,1. 常用漢字の通用字体,,2級
1137,税,1. 常用漢字の通用字体,,6級
1138,夕,1. 常用漢字の通用字体,,10級
1139,斥,1. 常用漢字の通用字体,,3級
1140,石,1. 常用漢字の通用字体,,10級
1141,赤,1. 常用漢字の通用字体,,10級
1142,昔,1. 常用漢字の通用字体,,8級
1143,析,1. 常用漢字の通用字体,,準2級
1144,席,1. 常用漢字の通用字体,,7級
1145,脊,1. 常用漢字の通用字体,,2級
1146,隻,1. 常用漢字の通用字体,,3級
1147,惜,1. 常用漢字の通用字体,,3級
1148,戚,1. 常用漢字の通用字体,,2級
1149,責,1. 常用漢字の通用字体,,6級
1150,跡,1. 常用漢字の通用字体,,4級
1151,積,1. 常用漢字の通用字体,,7級
1152,績,1. 常用漢字の通用字体,,6級
1153,籍,1. 常用漢字の通用字体,,3級
1154,切,1. 常用漢字の通用字体,,9級
1155,折,1. 常用漢字の通用字体,,7級
1156,拙,1. 常用漢字の通用字体,,準2級
1157,窃,1. 常用漢字の通用字体,,準2級
1158,接,1. 常用漢字の通用字体,,6級
1159,設,1. 常用漢字の通用字体,,6級
1160,雪,1. 常用漢字の通用字体,,9級
1161,摂,1. 常用漢字の通用字体,攝,3級
1162,節,1. 常用漢字の通用字体,節,7級
1163,説,1. 常用漢字の通用字体,,7級
1164,舌,1. 常用漢字の通用字体,,5級
1165,絶,1. 常用漢字の通用字体,,6級
1166,千,1. 常用漢字の通用字体,,10級
1167,川,1. 常用漢字の通用字体,,10級
1168,仙,1. 常用漢字の通用字体,,準2級
1169,占,1. 常用漢字の通用字体,,4級
1170,先,1. 常用漢字の通用字体,,10級
1171,宣,1. 常用漢字の通用字体,,5級
1172,専,1. 常用漢字の通用字体,專,5級
1173,泉,1. 常用漢字の通用字体,,5級
1174,浅,1. 常用漢字の通用字体,,7級
1175,洗,1. 常用漢字の通用字体,,5級
1176,染,1. 常用漢字の通用字体,,5級
1177,扇,1. 常用漢字の通用字体,,4級
1178,栓,1. 常用漢字の通用字体,,準2級
1179,旋,1. 常用漢字の通用字体,,準2級
1180,船,1. 常用漢字の通用字体,,9級
1181,戦,1. 常用漢字の通用字体,戰,7級
1182,煎,1. 常用漢字の通用字体,,2級
1183,羨,1. 常用漢字の通用字体,,2級
1184,腺,1. 常用漢字の通用字体,,2級
1185,詮,1. 常用漢字の通用字体,,2級
1186,践,1. 常用漢字の通用字体,,準2級
1187,箋,1. 常用漢字の通用字体,,2級
1188,銭,1. 常用漢字の通用字体,,5級
1189,潜,1. 常用漢字の通用字体,,3級
1190,線,1. 常用漢字の通用字体,,9級
1191,遷,1. 常用漢字の通用字体,,準2級
1192,選,1. 常用漢字の通用字体,,7級
1193,薦,1. 常用漢字の通用字体,,準2級
1194,繊,1. 常用漢字の通用字体,纖,準2級
1195,鮮,1. 常用漢字の通用字体,,4級
1196,全,1. 常用漢字の通用字体,,8級
1197,前,1. 常用漢字の通用字体,,9級
1198,善,1. 常用漢字の通用字体,,5級
1199,然,1. 常用漢字の通用字体,,7級
1200,禅,1. 常用漢字の通用字体,禪,準2級
1201,漸,1. 常用漢字の通用字体,,準2級
1202,膳,1. 常用漢字の通用字体,,2級
1203,繕,1. 常用漢字の通用字体,,3級
1204,狙,1. 常用漢字の通用字体,,2級
1205,阻,1. 常用漢字の通用字体,,3級
1206,祖,1. 常用漢字の通用字体,祖,6級
